ID,EMPRESA,SETOR,USO_AGUA,AREA,AREA_RESERVA,CO2_EMIT_DIR,CO2_EMIT_INDIR,CO2_REC,INSUMO_QUIMICO_LEG,INSUMO_QUIMICO_ORG,BIODIVERSIDADE,RESIDUO_REC,RESIDUO_COMP,RESIDUO_DESC,ENERGIA_REN,INDICE_SUSTENTABILIDADE
0.0,EMPRESA00342,TRIGO,5.58,8138.78,8.12,5.62,4.84,6.12,6.83,5.89,11.13,12.13,37.62,14.79,47.98,0.58
1.0,EMPRESA00155,MILHO,5.45,935.39,4.61,1.43,9.97,7.85,6.43,6.76,12.89,34.1,28.25,15.55,51.84,0.61
2.0,EMPRESA00435,TRIGO,8.59,11089.93,1.35,8.11,9.38,14.68,6.26,6.35,3.6,21.97,39.69,14.05,94.99,0.66
3.0,EMPRESA00397,SOJA,5.3,3696.39,5.95,3.39,9.92,14.37,2.51,3.32,17.69,32.64,19.53,8.65,46.28,0.65
4.0,EMPRESA00025,MILHO,6.49,25086.76,4.71,1.87,5.33,2.31,4.08,8.07,7.22,25.28,19.4,16.09,61.87,0.47
5.0,EMPRESA00239,CANA_ACUCAR,7.91,13890.36,7.8,5.93,8.64,6.57,1.47,6.72,3.56,27.35,30.92,12.86,31.11,0.54
6.0,EMPRESA00190,CANA_ACUCAR,9.05,17639.0,3.36,3.5,4.31,10.11,7.71,1.21,17.05,28.53,14.44,7.76,23.54,0.51
7.0,EMPRESA00133,CANA_ACUCAR,6.06,17700.37,4.32,9.23,9.35,11.6,1.02,9.28,3.69,20.95,19.69,6.0,8.25,0.44
8.0,EMPRESA00205,SOJA,9.06,8761.29,8.83,9.36,3.74,10.95,1.51,2.86,14.21,39.92,34.07,14.14,74.31,0.77
9.0,EMPRESA00184,CANA_ACUCAR,4.05,1364.36,4.31,7.44,6.33,7.91,8.3,3.97,10.4,26.55,10.83,14.7,42.68,0.49
10.0,EMPRESA00006,CANA_ACUCAR,4.66,379.71,1.49,8.83,5.33,10.38,7.81,2.11,18.87,29.92,17.19,6.95,25.81,0.51
11.0,EMPRESA00451,SOJA,9.42,29829.14,1.38,9.36,5.39,14.04,4.15,5.06,14.84,20.27,13.74,7.16,8.54,0.47
12.0,EMPRESA00000,CANA_ACUCAR,9.68,17099.4,9.72,5.39,7.2,7.14,4.39,3.23,15.05,16.19,37.05,19.81,39.61,0.65
13.0,EMPRESA00117,MILHO,6.16,25995.87,9.14,8.37,7.6,7.3,9.03,3.34,4.4,36.72,36.7,14.76,24.65,0.62
14.0,EMPRESA00394,CANA_ACUCAR,4.95,18219.74,5.44,3.82,7.17,7.79,9.04,4.91,7.05,30.9,31.7,14.62,70.06,0.61
15.0,EMPRESA00405,SOJA,6.67,20388.62,6.24,2.89,7.51,8.87,3.31,9.36,8.62,21.17,33.8,13.3,23.02,0.54
16.0,EMPRESA00095,SOJA,4.48,29548.37,8.97,4.03,5.81,10.29,5.84,8.16,6.15,18.29,18.47,19.15,39.56,0.54
17.0,EMPRESA00052,CANA_ACUCAR,6.77,21165.55,3.55,5.85,3.9,13.17,6.51,5.08,1.49,15.48,31.42,12.18,70.11,0.53
18.0,EMPRESA00182,CANA_ACUCAR,9.62,18123.04,9.97,2.17,8.6,9.58,9.64,7.17,17.39,26.86,18.61,8.03,42.44,0.68
19.0,EMPRESA00185,SOJA,6.84,21799.63,9.36,2.5,9.96,10.15,2.64,5.9,2.97,39.17,10.72,14.81,15.62,0.52
20.0,EMPRESA00450,MILHO,5.13,3567.31,4.3,2.59,7.65,5.99,9.64,8.2,7.32,32.32,25.97,7.4,73.98,0.57
21.0,EMPRESA00330,SOJA,9.33,13260.05,9.58,6.84,4.46,12.86,2.81,3.12,16.71,20.83,17.55,16.62,76.78,0.7
22.0,EMPRESA00286,TRIGO,6.99,19993.76,2.96,9.04,4.94,12.75,4.01,2.59,3.81,31.89,34.46,11.52,13.07,0.51
23.0,EMPRESA00267,SOJA,5.44,29672.85,4.65,4.69,4.36,6.24,2.57,9.46,2.22,24.18,12.29,7.93,32.2,0.39
24.0,EMPRESA00387,TRIGO,9.46,13850.31,1.35,4.66,5.37,13.32,6.91,2.26,1.53,29.47,35.35,19.14,81.36,0.6
25.0,EMPRESA00279,MILHO,4.07,25523.71,8.75,2.42,3.23,13.46,4.13,4.72,6.62,34.54,21.79,15.75,39.26,0.6
26.0,EMPRESA00240,MILHO,5.94,11664.67,4.99,4.9,6.24,12.28,1.21,6.0,9.11,39.62,30.65,13.67,85.77,0.7
27.0,EMPRESA00032,TRIGO,9.28,16777.22,6.35,9.17,9.2,14.52,3.62,9.97,11.46,21.33,22.08,16.1,25.77,0.61
28.0,EMPRESA00491,CANA_ACUCAR,7.12,26555.27,8.86,3.85,3.28,7.19,7.97,6.28,16.64,15.53,39.07,8.47,17.77,0.6
29.0,EMPRESA00199,SOJA,8.08,24484.66,1.81,5.34,7.05,9.68,9.94,4.98,9.98,38.42,33.72,5.73,35.48,0.58
30.0,EMPRESA00347,MILHO,9.48,17773.65,9.86,5.8,9.12,6.49,9.67,6.36,8.71,30.14,24.88,12.17,44.46,0.63
31.0,EMPRESA00128,MILHO,3.17,5019.18,2.03,6.13,6.1,9.77,3.82,2.53,4.58,35.82,10.82,10.95,79.18,0.5
32.0,EMPRESA00428,CANA_ACUCAR,9.87,144.35,4.78,7.85,8.77,12.6,7.75,8.02,17.51,38.84,18.16,15.89,63.99,0.72
33.0,EMPRESA00391,MILHO,5.84,25628.99,8.02,6.49,3.53,10.33,4.37,7.54,15.18,32.5,34.08,5.84,76.3,0.73
34.0,EMPRESA00088,MILHO,6.65,28631.16,3.16,6.98,2.41,13.49,1.08,3.99,1.66,13.72,27.48,12.96,66.45,0.49
35.0,EMPRESA00036,SOJA,6.65,23713.95,8.98,9.13,9.2,7.82,8.35,6.03,13.19,38.81,29.46,16.89,25.72,0.68
36.0,EMPRESA00020,TRIGO,9.49,20486.9,1.22,4.11,4.96,5.66,5.37,4.75,14.44,25.37,33.32,13.56,59.6,0.55
37.0,EMPRESA00133,SOJA,4.09,1255.61,4.62,5.3,4.31,7.09,2.98,4.17,15.72,36.97,12.58,10.99,53.45,0.55
38.0,EMPRESA00486,SOJA,8.83,23621.04,9.32,2.16,4.5,10.54,9.54,2.08,14.55,12.48,38.23,5.17,77.56,0.69
39.0,EMPRESA00216,MILHO,2.6,27760.12,6.17,1.67,2.32,14.3,5.11,1.39,3.88,36.77,23.39,15.7,58.89,0.59
